medcode,alcstatus,alclevel
12949,non,
12970,non,
4447,non,
12975,curr,L
385,curr,L
749,curr,L
12972,curr,L
322,curr,M
1618,curr,H
12977,curr,H
967,ex,
12976,curr,H
22933,ex,
26471,ex,
19495,ex,
19493,ex,
12983,ex,
12971,curr,
2689,curr,
12968,curr,
12969,curr,
956,curr,L
12982,curr,H
26472,curr,L
12979,non,
12980,curr,L
12985,curr,M
8999,curr,H
12984,curr,H
19401,curr,H
19494,curr,H
30695,curr,H
94670,curr,H
101718,curr,
102665,curr,
99877,curr,H
102448,curr,
103230,curr,
106560,curr,
18156,curr,H
84218,curr,H
38061,curr,H
44783,curr,
104649,curr,H
109108,curr,
24735,curr,H
10161,curr,H
11491,curr,
18711,curr,H
56410,curr,H
2083,curr,H
110624,curr,H
110494,curr,H
7692,curr,H
102564,curr,
97309,curr,H
37264,curr,H
109668,curr,H
29691,curr,H
21650,curr,H
9849,curr,H
12554,curr,H
94553,curr,H
96993,curr,H
97261,curr,H
97680,curr,H
102247,curr,H
103459,curr,H
109105,curr,H
109675,curr,H
108644,curr,
9489,curr,H
110382,curr,
109800,curr,H
11740,curr,H
35330,curr,H
63529,curr,H
47123,curr,H
96053,curr,H
96054,curr,H
65754,curr,H
16237,curr,H
16225,curr,H
22277,curr,H
1476,curr,H
20762,curr,H
4500,curr,H
11106,curr,H
18636,curr,H
41920,curr,H
54505,curr,H
27342,curr,H
37946,curr,H
25110,curr,H
57939,curr,H
20407,curr,H
30404,curr,H
33670,curr,H
2082,curr,H
68111,curr,H
67651,curr,H
2084,curr,H
2081,curr,H
1399,curr,H
5740,curr,H
57714,curr,H
40530,curr,H
56947,curr,H
21624,curr,H
59574,curr,H
36296,curr,H
31443,curr,H
43193,curr,H
24064,curr,H
26106,curr,H
24485,ex,
33635,curr,H
6169,curr,H
7746,curr,
27518,curr,
3782,curr,
669,curr,H
23610,curr,H
12974,curr,H
31569,curr,H
28150,curr,H
5611,curr,H
44299,curr,H
9508,curr,H
21879,curr,H
39327,curr,H
28780,curr,H
5758,curr,H
20514,curr,H
17259,curr,H
12353,curr,H
6467,curr,H
65932,curr,H
30162,curr,H
17607,curr,H
39799,curr,H
11670,curr,H
26323,curr,H
37691,curr,H
32927,curr,H
45169,curr,H
64389,curr,H
47555,curr,H
36748,curr,H
33839,curr,H
30604,curr,H
2925,curr,H
31742,curr,H
4915,curr,H
8363,curr,H
4506,curr,H
10691,curr,H
3216,curr,H
4743,curr,H
21713,curr,H
7885,curr,H
17330,curr,H
7943,curr,H
7602,curr,H
42843,curr,H
104611,curr,H
24984,curr,H
66019,curr,H
27670,curr,H
23945,curr,H
66699,curr,H
97916,curr,H
9169,curr,H
19217,curr,H
23978,curr,
41983,curr,H
46677,curr,H
61383,curr,H
95181,curr,H
110671,curr,
64409,curr,H
30460,curr,H
95650,curr,H
97163,curr,H
54209,curr,H
104109,curr,
11140,curr,H
22707,curr,H
46848,curr,H
7123,curr,H
16587,curr,H
7545,curr,
8388,curr,H
8030,curr,H
