icd,alt_code,description
F30,F30,Manic episode
F300,F300,Hypomania
F301,F301,Mania without psychotic symptoms
F302,F302,Mania with psychotic symptoms
F308,F308,Other manic episodes
F309,F309,"Manic episode, unspecified"
F31,F31,Bipolar affective disorder
F310,F310,"Bipolar affective disorder, current episode hypomanic"
F311,F311,"Bipolar affective disorder, current episode manic without psychotic symptoms"
F312,F312,"Bipolar affective disorder, current episode manic with psychotic symptoms"
F313,F313,"Bipolar affective disorder, current episode mild or moderate depression"
F314,F314,"Bipolar affective disorder, current episode severe depression without psychotic symptoms"
F315,F315,"Bipolar affective disorder, current episode severe depression with psychotic symptoms"
F316,F316,"Bipolar affective disorder, current episode mixed"
F317,F317,"Bipolar affective disorder, currently in remission"
F318,F318,Other bipolar affective disorders
F319,F319,"Bipolar affective disorder, unspecified"
